city,term,tweet
New York,kale,I'm reminded how badly obsessed I am with green tea ice cream 😉😋fuck kale this is my shit !!! #greentea #icecream 😍
New York,kale,Kale lentils snow peas sugar snap peas zucchini tomatoes garlic
New York,kale,"Butternut squash, sweet potato, brussel sprouts, garbanzo, broccoli, cherry tomatoes, peppers, spinach, kale, avocado http://t.co/WzSdOTHw1a"
New York,kale,"Eating kale 4 dinner, then imma go to this Vice party in Brooklyn, then either organic candle making or bicycle yoga."
New York,kale,"Ok.. So... Salad-- I have chick peas, kale, beets, what else? Loll"
New York,kale,"Kale isn't a super fruit. Potatoes are a super fruit. You can have roasted potatoes, French fries, chips, mashed potatoes, cheesy potatoes"
New York,kale,How come NYC has the best flowers? #nyc #flowers #kale #arrangement #floral @ vanderwalde vintage mansion http://t.co/HbM9YCa1qL
New York,kale,I need to eat and drink nothing but kale chips and water for like a full week
New York,kale,Hard-boiled eggs in tomato sauce over raw kale = lunch for tomorrow! #Thanksgivingdetox #italianfood #veggies #kale http://t.co/3qrTmifHt4
New York,kale,Turkey and quinoa meatballs with kale over bucatini #sundaysupper #hayleyskitchen @ hayley's kitchen http://t.co/AMWxoCDtcA
New York,kale,&amp;&amp;&amp; did I mention they had special pork buns with kale today. #latergram #foodgasm #drools #omnomnom… http://t.co/UhbhIJGNPa
New York,kale,"Stuffed acorn squash #vegan #organic over sautéed leeks, kale, &amp; mushroom #acornsquash @ Organic Grill http://t.co/ky4ObHmtVC"
New York,kale,"Try our new beautifully created special- Braised short rib with creamed kale, bacon, shiitake! #whatsfordinner #gfree http://t.co/RzBR3bMuN5"
New York,kale,"@janellenormand Ooohhhh, taco soup. Also jazzed about M/T lunch: sweet potato noodles over kale and cranberries, with a bit of blue cheese."
New York,kale,this salad actually made me not hate kale for once @ Alice's Arbor http://t.co/ovDyz4LK2H
New York,kale,"Packing lunch for the trip back to Wes: ""Would you like your kale on the sandwich, or on the side?"" #mom"
New York,kale,"Breakfast ..ok brunch.Egg whites turkey sausage &amp; whole wheat toast w/a side of smoothie. Kale,spinach,carrot,grapes, flax seed,almond milk"
New York,kale,Me and Kale are the only assholes coming back to campus this late
New York,kale,"Bourbon apple butternut squash soup with kale, roasted cranberries and pumpkin seeds @ Bed Stoop Brooklyn http://t.co/dVanZ5tCle"
New York,kale,"#blended minestrone, black kale, pasting, beans = #wintrygoodness @ Left Bank http://t.co/QOOmOLFqFt"
New York,kale,@SensibleStylist I love kale
New York,kale,“@HuffPostTaste: We're guessing you could use a kale salad right about now http://t.co/imSrescGj8 http://t.co/J2IMHS0WrL” Yes I could! #yum
New York,kale,"Today's #brunch: Leftover Mazzola #lardbread, #kale salad, #turkey, and provolone sandwich @ Casa E… http://t.co/3CQmyQwlWr"
New York,kale,@FutbolIntellect Confession: @12thLady just introduced me to kale tacos
New York,kale,"#SOGChallenge Day 9 is a tart and tangy, minty refresher. Spinach, kale, cranberry, apple, tangerine,… http://t.co/qiN8JLcYLd"
New York,kale,"This kale salad wht lemon-maple-mustard vinaigrette, sliced pear, toasted hazelnuts + shaved pecorino… http://t.co/zn9EzHqfl3"
New York,kale,"The where's the #kale #selfie 💩
My belly is full ! 🙊
#HappyThanksgiving 💖 @ The Shag Pad ! 🐸☕️ http://t.co/bJIZSdtYwm"
