,city,term,tweet,sentiment
0,New York,kale,I'm reminded how badly obsessed I am with green tea ice cream 😉😋fuck kale this is my shit !!! #greentea #icecream 😍,-0.9521491160350046
1,New York,kale,Kale lentils snow peas sugar snap peas zucchini tomatoes garlic,0.0
2,New York,kale,"Butternut squash, sweet potato, brussel sprouts, garbanzo, broccoli, cherry tomatoes, peppers, spinach, kale, avocado http://t.co/WzSdOTHw1a",0.5685799620527161
3,New York,kale,"Eating kale 4 dinner, then imma go to this Vice party in Brooklyn, then either organic candle making or bicycle yoga.",0.0
4,New York,kale,"Ok.. So... Salad-- I have chick peas, kale, beets, what else? Loll",0.0
5,New York,kale,"Kale isn't a super fruit. Potatoes are a super fruit. You can have roasted potatoes, French fries, chips, mashed potatoes, cheesy potatoes",0.039019927183093106
6,New York,kale,How come NYC has the best flowers? #nyc #flowers #kale #arrangement #floral @ vanderwalde vintage mansion http://t.co/HbM9YCa1qL,0.5982972672854269
7,New York,kale,I need to eat and drink nothing but kale chips and water for like a full week,0.0
8,New York,kale,Hard-boiled eggs in tomato sauce over raw kale = lunch for tomorrow! #Thanksgivingdetox #italianfood #veggies #kale http://t.co/3qrTmifHt4,0.0
9,New York,kale,Turkey and quinoa meatballs with kale over bucatini #sundaysupper #hayleyskitchen @ hayley's kitchen http://t.co/AMWxoCDtcA,0.0
10,New York,kale,&amp;&amp;&amp; did I mention they had special pork buns with kale today. #latergram #foodgasm #drools #omnomnom… http://t.co/UhbhIJGNPa,0.0
11,New York,kale,"Stuffed acorn squash #vegan #organic over sautéed leeks, kale, &amp; mushroom #acornsquash @ Organic Grill http://t.co/ky4ObHmtVC",-0.39388090966436723
12,New York,kale,"Try our new beautifully created special- Braised short rib with creamed kale, bacon, shiitake! #whatsfordinner #gfree http://t.co/RzBR3bMuN5",0.7923352042939829
13,New York,kale,"@janellenormand Ooohhhh, taco soup. Also jazzed about M/T lunch: sweet potato noodles over kale and cranberries, with a bit of blue cheese.",0.5685799620527161
14,New York,kale,this salad actually made me not hate kale for once @ Alice's Arbor http://t.co/ovDyz4LK2H,0.8748623139495181
15,New York,kale,"Packing lunch for the trip back to Wes: ""Would you like your kale on the sandwich, or on the side?"" #mom",0.7176687736973063
16,New York,kale,"Breakfast ..ok brunch.Egg whites turkey sausage &amp; whole wheat toast w/a side of smoothie. Kale,spinach,carrot,grapes, flax seed,almond milk",0.0
17,New York,kale,Me and Kale are the only assholes coming back to campus this late,0.0
18,New York,kale,"Bourbon apple butternut squash soup with kale, roasted cranberries and pumpkin seeds @ Bed Stoop Brooklyn http://t.co/dVanZ5tCle",0.0
